Winner,Final Score Away,Final Score Home,Final Score Difference,Half Score Away,Half Score Home,Half Score Difference,Away FGA,Home FGA,Away FG,Home FG,Away 3PT,Home 3PT,Away EFG,Home EFG,Away Pos,Home Pos,Away TO,Home TO,Away TPP,Home TPP,Away OR,Home OR,Away DR,Home DR,Away ORP,Home ORP,Away DRP,Home DRP,Away DTPP,Home DTPP
Home,89,123,-34,52,69,-17,42,41,20,23,4,6,0.5238095238095238,0.6341463414634146,41,45,8,6,0.1951219512195122,0.1333333333333333,8,8,14,19,0.3636363636363636,0.4444444444444444,0.7777777777777778,0.8636363636363636,0.1463414634146341,0.1777777777777777
Away,122,115,7,77,62,15,44,54,25,21,8,8,0.6590909090909091,0.4629629629629629,51,45,7,7,0.1372549019607843,0.1555555555555555,8,11,23,17,0.4210526315789473,0.3333333333333333,0.696969696969697,0.8947368421052632,0.1372549019607843,0.1555555555555555
Away,107,106,1,56,59,-3,40,40,21,23,2,6,0.55,0.65,44,43,8,6,0.1818181818181818,0.1395348837209302,7,4,17,14,0.3684210526315789,0.2352941176470588,1.0,0.7368421052631579,0.1363636363636363,0.1860465116279069
Home,108,123,-15,48,48,0,48,48,20,18,5,7,0.46875,0.4479166666666667,48,47,7,11,0.1458333333333333,0.2340425531914893,11,13,19,22,0.3928571428571428,0.4333333333333333,0.6333333333333333,0.7857142857142857,0.2291666666666666,0.1489361702127659
Home,104,128,-24,53,72,-19,50,40,22,26,3,9,0.47,0.7625,41,47,4,5,0.0975609756097561,0.1063829787234042,7,10,12,21,0.25,0.7142857142857143,0.8571428571428571,0.75,0.1219512195121951,0.0851063829787234
Away,107,98,9,47,39,8,48,43,16,13,4,5,0.375,0.3604651162790697,45,45,2,10,0.0444444444444444,0.2222222222222222,6,8,23,27,0.1875,0.2666666666666666,0.7666666666666667,0.84375,0.2222222222222222,0.0444444444444444
Away,115,112,3,50,61,-11,42,47,21,25,1,3,0.5119047619047619,0.5638297872340425,41,40,8,5,0.1951219512195122,0.125,13,12,12,13,0.6190476190476191,0.5454545454545454,0.5454545454545454,0.6190476190476191,0.1219512195121951,0.2
Home,98,109,-11,55,48,7,47,42,21,18,8,6,0.5319148936170213,0.5,42,45,7,7,0.1666666666666666,0.1555555555555555,9,9,19,17,0.3461538461538461,0.375,0.7916666666666666,0.6538461538461539,0.1666666666666666,0.1555555555555555
Home,102,116,-14,47,59,-12,45,52,17,24,6,5,0.4444444444444444,0.5096153846153846,44,46,7,3,0.1590909090909091,0.0652173913043478,8,15,19,22,0.2857142857142857,0.5357142857142857,0.6785714285714286,0.7857142857142857,0.0681818181818181,0.1521739130434782
Home,92,113,-21,48,60,-12,40,44,16,22,6,7,0.475,0.5795454545454546,39,40,6,3,0.1538461538461538,0.075,7,9,16,18,0.2916666666666667,0.4090909090909091,0.7272727272727273,0.75,0.0769230769230769,0.15
Home,101,111,-10,51,56,-5,43,61,20,21,2,4,0.4883720930232558,0.3770491803278688,50,45,10,5,0.2,0.1111111111111111,13,19,26,18,0.5652173913043478,0.475,0.65,0.782608695652174,0.1,0.2222222222222222
